(-4365, 6939, 4452)
(-4422, 7017, 4353)
(-4479, 7095, 4254)
(-4536, 7173, 4155)
(-4593, 7251, 4056)
(-4650, 7329, 3957)
(-4707, 7407, 3858)
(-4764, 7485, 3759)
(-4821, 7563, 3660)
(-4878, 7641, 3561)
(-4935, 7719, 3462)
(-4992, 7797, 3363)
(-5049, 7875, 3264)
(-5106, 7953, 3165)
(-5163, 8031, 3066)
(-5220, 8109, 2967)
(-5277, 8187, 2868)
(-5334, 8265, 2769)
(-5391, 8343, 2670)
(-5448, 8421, 2571)
(-5505, 8499, 2472)
(-5562, 8577, 2373)
(-5619, 8655, 2274)
(-5676, 8733, 2175)
(-5733, 8811, 2076)
(-5790, 8889, 1977)
(-5847, 8967, 1878)
(-5904, 9045, 1779)
(-5961, 9123, 1680)
(-6018, 9201, 1581)
(-6075, 9279, 1482)
(-6132, 9357, 1383)
(-6189, 9435, 1284)
(-6246, 9513, 1185)
(-6303, 9591, 1086)
(-6360, 9669, 987)
(-6417, 9747, 888)
(-6474, 9825, 789)
(-6531, 9903, 690)
(-6588, 9981, 591)
(-6645, 10059, 492)
(-6702, 10137, 393)
(-6759, 10215, 294)
(-6816, 10293, 195)
(-6873, 10371, 96)
(-6930, 10449, -3)
(-6987, 10527, -102)
(-7044, 10605, -201)
(-7101, 10683, -300)
(-7158, 10761, -399)
(-7215, 10839, -498)
(-7272, 10917, -597)
(-7329, 10995, -696)
(-7386, 11073, -795)
(-7443, 11151, -894)
(-7500, 11229, -993)
(-7557, 11307, -1092)
(-7614, 11385, -1191)
(-7671, 11463, -1290)
(-7728, 11541, -1389)
(-7785, 11619, -1488)
(-7842, 11697, -1587)
(-7899, 11775, -1686)
(-7956, 11853, -1785)
(-8013, 11931, -1884)
(-8070, 12009, -1983)
(-8127, 12087, -2082)
(-8184, 12165, -2181)
(-8241, 12243, -2280)
(-8298, 12321, -2379)
(-8355, 12399, -2478)
(-8412, 12477, -2577)
(-8469, 12555, -2676)
(-8526, 12633, -2775)
(-8583, 12711, -2874)
(-8640, 12789, -2973)
(-8697, 12867, -3072)
(-8754, 12945, -3171)
(-8811, 13023, -3270)
(-8868, 13101, -3369)
(-8925, 13179, -3468)
(-8982, 13257, -3567)
(-9039, 13335, -3666)
(-9096, 13413, -3765)
(-9153, 13491, -3864)
(-9210, 13569, -3963)
(-9267, 13647, -4062)
(-9324, 13725, -4161)
(-9381, 13803, -4260)
(-9438, 13881, -4359)
(-9495, 13959, -4458)
(-9552, 14037, -4557)
(-9609, 14115, -4656)
(-9666, 14193, -4755)
(-9723, 14271, -4854)
(-9780, 14349, -4953)
(-9837, 14427, -5052)
(-9894, 14505, -5151)
(-9951, 14583, -5250)
(-10008, 14661, -5349)
(-4316, 6861, 4402)
(-4373, 6939, 4303)
(-4430, 7017, 4204)
(-4487, 7095, 4105)
(-4544, 7173, 4006)
(-4601, 7251, 3907)
(-4658, 7329, 3808)
(-4715, 7407, 3709)
(-4772, 7485, 3610)
(-4829, 7563, 3511)
(-4886, 7641, 3412)
(-4943, 7719, 3313)
(-5000, 7797, 3214)
(-5057, 7875, 3115)
(-5114, 7953, 3016)
(-5171, 8031, 2917)
(-5228, 8109, 2818)
(-5285, 8187, 2719)
(-5342, 8265, 2620)
(-5399, 8343, 2521)
(-5456, 8421, 2422)
(-5513, 8499, 2323)
(-5570, 8577, 2224)
(-5627, 8655, 2125)
(-5684, 8733, 2026)
(-5741, 8811, 1927)
(-5798, 8889, 1828)
(-5855, 8967, 1729)
(-5912, 9045, 1630)
(-5969, 9123, 1531)
(-6026, 9201, 1432)
(-6083, 9279, 1333)
(-6140, 9357, 1234)
(-6197, 9435, 1135)
(-6254, 9513, 1036)
(-6311, 9591, 937)
(-6368, 9669, 838)
(-6425, 9747, 739)
(-6482, 9825, 640)
(-6539, 9903, 541)
(-6596, 9981, 442)
(-6653, 10059, 343)
(-6710, 10137, 244)
(-6767, 10215, 145)
(-6824, 10293, 46)
(-6881, 10371, -53)
(-6938, 10449, -152)
(-6995, 10527, -251)
(-7052, 10605, -350)
(-7109, 10683, -449)
(-7166, 10761, -548)
(-7223, 10839, -647)
