(3384, -5544, -6120)
(3441, -5622, -6021)
(3498, -5700, -5922)
(3555, -5778, -5823)
(3612, -5856, -5724)
(3669, -5934, -5625)
(3726, -6012, -5526)
(3783, -6090, -5427)
(3840, -6168, -5328)
(3897, -6246, -5229)
(3954, -6324, -5130)
(4011, -6402, -5031)
(4068, -6480, -4932)
(4125, -6558, -4833)
(4182, -6636, -4734)
(4239, -6714, -4635)
(4296, -6792, -4536)
(4353, -6870, -4437)
(4410, -6948, -4338)
(4467, -7026, -4239)
(4524, -7104, -4140)
(4581, -7182, -4041)
(4638, -7260, -3942)
(4695, -7338, -3843)
(4752, -7416, -3744)
(4809, -7494, -3645)
(4866, -7572, -3546)
(4923, -7650, -3447)
(4980, -7728, -3348)
(5037, -7806, -3249)
(5094, -7884, -3150)
(5151, -7962, -3051)
(5208, -8040, -2952)
(5265, -8118, -2853)
(5322, -8196, -2754)
(5379, -8274, -2655)
(5436, -8352, -2556)
(5493, -8430, -2457)
(5550, -8508, -2358)
(5607, -8586, -2259)
(5664, -8664, -2160)
(5721, -8742, -2061)
(5778, -8820, -1962)
(5835, -8898, -1863)
(5892, -8976, -1764)
(5949, -9054, -1665)
(6006, -9132, -1566)
(6063, -9210, -1467)
(6120, -9288, -1368)
(6177, -9366, -1269)
(6234, -9444, -1170)
(6291, -9522, -1071)
(6348, -9600, -972)
(6405, -9678, -873)
(6462, -9756, -774)
(6519, -9834, -675)
(6576, -9912, -576)
(6633, -9990, -477)
(6690, -10068, -378)
(6747, -10146, -279)
(6804, -10224, -180)
(6861, -10302, -81)
(6918, -10380, 18)
(6975, -10458, 117)
(7032, -10536, 216)
(7089, -10614, 315)
(7146, -10692, 414)
(7203, -10770, 513)
(7260, -10848, 612)
(7317, -10926, 711)
(7374, -11004, 810)
(7431, -11082, 909)
(7488, -11160, 1008)
(7545, -11238, 1107)
(7602, -11316, 1206)
(7659, -11394, 1305)
(7716, -11472, 1404)
(7773, -11550, 1503)
(7830, -11628, 1602)
(7887, -11706, 1701)
(7944, -11784, 1800)
(8001, -11862, 1899)
(8058, -11940, 1998)
(8115, -12018, 2097)
(8172, -12096, 2196)
(8229, -12174, 2295)
(8286, -12252, 2394)
(8343, -12330, 2493)
(8400, -12408, 2592)
(8457, -12486, 2691)
(8514, -12564, 2790)
(8571, -12642, 2889)
(8628, -12720, 2988)
(8685, -12798, 3087)
(8742, -12876, 3186)
(8799, -12954, 3285)
(8856, -13032, 3384)
(8913, -13110, 3483)
(8970, -13188, 3582)
(9027, -13266, 3681)
(3335, -5466, -6070)
(3392, -5544, -5971)
(3449, -5622, -5872)
(3506, -5700, -5773)
(3563, -5778, -5674)
(3620, -5856, -5575)
(3677, -5934, -5476)
(3734, -6012, -5377)
(3791, -6090, -5278)
(3848, -6168, -5179)
(3905, -6246, -5080)
(3962, -6324, -4981)
(4019, -6402, -4882)
(4076, -6480, -4783)
(4133, -6558, -4684)
(4190, -6636, -4585)
(4247, -6714, -4486)
(4304, -6792, -4387)
(4361, -6870, -4288)
(4418, -6948, -4189)
(4475, -7026, -4090)
(4532, -7104, -3991)
(4589, -7182, -3892)
(4646, -7260, -3793)
(4703, -7338, -3694)
(4760, -7416, -3595)
(4817, -7494, -3496)
(4874, -7572, -3397)
(4931, -7650, -3298)
(4988, -7728, -3199)
(5045, -7806, -3100)
(5102, -7884, -3001)
(5159, -7962, -2902)
(5216, -8040, -2803)
(5273, -8118, -2704)
(5330, -8196, -2605)
(5387, -8274, -2506)
(5444, -8352, -2407)
(5501, -8430, -2308)
(5558, -8508, -2209)
(5615, -8586, -2110)
(5672, -8664, -2011)
(5729, -8742, -1912)
(5786, -8820, -1813)
(5843, -8898, -1714)
(5900, -8976, -1615)
(5957, -9054, -1516)
(6014, -9132, -1417)
(6071, -9210, -1318)
(6128, -9288, -1219)
(6185, -9366, -1120)
(6242, -9444, -1021)
(6299, -9522, -922)
(6356, -9600, -823)
(6413, -9678, -724)
(6470, -9756, -625)
(6527, -9834, -526)
(6584, -9912, -427)
(6641, -9990, -328)
(6698, -10068, -229)
(6755, -10146, -130)
(6812, -10224, -31)
(6869, -10302, 68)
(6926, -10380, 167)
(6983, -10458, 266)
(7040, -10536, 365)
(7097, -10614, 464)
(7154, -10692, 563)
(7211, -10770, 662)
(7268, -10848, 761)
(7325, -10926, 860)
(7382, -11004, 959)
